C180,Ecology,"The study of organisms in their environment, their interactions and history."
C181,Biodiversity,Concentrates on the design and development of different species and their interrelationships.
C182,Evolution,The study of organisms' adaptation to their environment and the mechanisms of heredity and change.
C190,Biology not elsewhere classified,Miscellaneous grouping which do not fit into the other Biology categories. To be used sparingly.
C191,Biometry,Concerned with the quantitative techniques and measurement in the biological Sciences.
C200,Botany,"The study of plants including their classification, structure, physiology, ecology and economic importance. Includes the importance of plants for a balanced ecosystem including the process of energy fixation and conversion in to the biosphere (and thus with food and fuel). May also be called Plant Science."
C210,Applied Botany,Topics in Botany of commercial or social importance.
C220,Mycology,"The study of fungi, symbiotic relationships and their role in decay."
C230,Plant Biotechnology,Involves the molecular and microbial manipulation of plants.
C240,Plant Cell Science,Concerned with the cellular organisation and function in plants.
C250,Plant Pathology,Concerned with the diseases of plants and their treatments.
C290,Botany not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Botany categories. To be used sparingly.
C300,Zoology,"The scientific study of all aspects of animal biology: their reproduction, development, physiology, behaviour, mechanics of locomotion, diseases and interactions with the environment."
C310,Applied Zoology,Zoological topics of commercial or social importance e.g. animal disease and eradication.
C320,Cell Zoology,Concerned with the cellular organisation and function in animals.
C330,Developmental Zoology,"Development of animals, in particular the differentiation of cells, tissues and organs."
C340,Entomology,"The study of insects, including their role as pests."
C350,Marine Zoology,The biological study of animals in seawater environments.
C360,Pest Science,"Concerned with vertebrate and invertebrate pests, their roles as disease vectors and agents of damage, and their control."
C390,Zoology not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Zoology categories. To be used sparingly.
C400,Genetics,"The scientific study of origin, heredity and variation in organisms; includes the inheritance of biological information."
C410,Applied Genetics,"Topics in genetics of commercial or social importance, e.g. in animal and plant breeding."
C420,Human Genetics,"The study of the genetics of the human species, including chromosome theory and the mechanism of gene action."
C430,Medical and Veterinary Genetics,The investigation of genetic abnormalities and their treatment.
C431,Medical Genetics,The investigation of genetic abnormalities and their treatment in humans.
C432,Veterinary Genetics,The investigation of genetic abnormalities and their treatment in animals.
C440,Molecular Genetics,The study of genetic factors and processes at molecular level.
C490,Genetics not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Genetics categories. To be used sparingly.
C500,Microbiology,"The scientific study of micro-organisms encompassing major components of genetics and molecular biology. Includes bacteriology, virology, cell structure and function and may include some immunology."
C510,Applied Microbiology,Topics in microbiology of commercial or social importance.
C520,Medical and Veterinary Microbiology,The study of the interactions between micro-organisms and their hosts.
C521,Medical Microbiology,The study of the interactions between micro-organisms and their human hosts.
C522,Veterinary Microbiology,The study of the interactions between micro-organisms and their animal hosts.
C530,Bacteriology,The study of bacteria and bacterial diseases.
C540,Virology,The study of viruses and viral diseases.
C550,Immunology,The study of the immune system as a defence mechanism against infection.
C560,Biotechnology,The molecular and microbial bio-organisms for processes such as fermentation and enzyme technology.
C570,Serology,The study of sera and blood related products.
C590,Microbiology not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Microbiology categories. To be used sparingly.
C600,Sports Science,"The scientific study of the anatomy, physiology, biomechanics and psychology of the human body with a view to optimising performance in sporting activities."
C700,"Molecular Biology, Biophysics and Biochemistry","The scientific study of the chemical compounds and reactions occurring in the cells of living organisms including the molecular and biochemical analysis of life processes. Involves aspects of cellular organisation and specialisation and how the structure and function of DNA, RNA proteins, enzymes and membranes determine biological processes."
C710,"Applied Molecular Biology, Biophysics and Biochemistry","Topics in Molecular Biology, Biophysics and Biochemistry of commercial or social importance."
C720,Biological Chemistry,The study of the molecules and compounds that make up cells and organisms; how they are formed and how they interact. Includes the study of Molecular Biology.
C730,Metabolic Biochemistry,Covers the biochemical aspects of metabolic processes.
C740,Medical and Veterinary Biochemistry,The study of the molecular basis of health and illness.
C741,Medical Biochemistry,Covers the biochemical aspects of metabolic processes in humans.
C742,Veterinary Biochemistry,Covers the biochemical aspects of metabolic processes in animals.
C750,Plant Biochemistry,Concerned with cellular processes in plants including the understanding of the expression of genetic information.
C760,Biomolecular Science,The study of the molecular processes in the life sciences.
C770,Biophysical Science,The use of the methods of physical science in the biological sciences.
C790,"Molecular Biology, Biophysics and Biochemistry not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Molecular Biology, Biophysics and Biochemistry categories. To be used sparingly."
C800,Psychology,"Scientific enquiry into behavioural and mental processes. May include study of the brain and brainwaves, sense, and biological and physiological bases of behaviour."
C810,Applied Psychology,The effect of human factors in psychological processes.
C811,Occupational Psychology,The application of human factors in psychology.
C812,Educational Psychology,The study and application of psychological processes involved in optimising learning and teaching.
C820,Developmental Psychology,Concerned with behaviour viewed from a developmental perspective.
C830,Experimental Psychology,Scientific investigation into fundamental psychological processes.
C840,Clinical Psychology,The study of psychological disorder.
C841,Health Psychology,The study of the maintenance of psychological well being.
C850,Cognitive Psychology,"The scientific study of the mechanisms and processes associated with perception, learning, memory and thinking."
C860,Neuropsychology,The explanation of behaviour in physiological terms.
C870,Psychometrics,Use of measurement and quantitative techniques in psychological testing.
C880,Social Psychology,The study of the behaviour of individuals in society.
C890,Psychology not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Psychology categories. To be used sparingly.
C900,Others in Biological Sciences,Miscellaneous grouping for related subjects which do not fit into the other Biological (or Life) Sciences categories. To
C910,Applied Biological Sciences,Topics in Other Biological Sciences of commercial or social importance.
C990,Biological Sciences not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Others in Biological (or Life) Sciences categories. To be used sparingly.
D000,"Veterinary Sciences, Agriculture and related subjects",
D100,Pre-clinical Veterinary Medicine,Vocational science concerned with the diagnosis and treatment of disease in animals.
D190,Pre-clinical Veterinary Medicine not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Pre-clinical Veterinary Medicine categories. To be used sparingly.
D200,Clinical Veterinary Medicine and Dentistry,"The observation, diagnosis and treatment of illness, disease or damage through direct interaction with non-human patients."
D210,Clinical Veterinary Medicine,"The observation, diagnosis and treatment of illness, disease or damage through direct interaction with non-human patients."
D220,Clinical Veterinary Dentistry,"The observation, diagnosis and treatment of illness, disease or damage to the teeth and gums through direct interaction with non-human patients."
D290,Clinical Veterinary Medicine and Dentistry not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into other Clinical Veterinary Medicine & Dentistry categories. To be used sparingly.
D300,Animal Science,"The scientific study of animals, their nutrition, treatment and care. Includes the study of animals diseases and their cure. May include veterinary nursing. Also may include the study of drugs, their characteristics, actions and uses."
D310,Veterinary Nursing,"Vocational science concerning the practical care of sick, injured and/or infirm animals."
D320,Animal Health,The study of animal diseases with the object of prevention or diagnosis and cure.
D321,Animal Anatomy,"The study of the physical structure of an animal, how each part works and is related. Studies include dissection and use of microscope slides."
D322,Animal Physiology,"The study of systemic function and behaviour of the animal frame, including processes such as respiration, circulation, digestion, excretion, and reproduction."
D323,Animal Pathology,The study of the effect of disease and/or damage to the animal frame. Studies include dissection and use of microscope slides.
D324,Animal Pharmacology,"The study of drugs, their characteristics, actions, uses and effects on different animals."
D325,Animal Toxicology,"The study of poisons, their nature, effect on different animals and possible antidotes."
D326,Animal Pharmacy,The study of the preparation and dispensing of animal-related drugs. Involves an understanding of the food-chain and its interaction with human beings.
D327,Animal Nutrition,The study of the process of assimilating nutrient materials into animal tissue.
D328,Animal Welfare,"The study of the health, contentment and well-being of animals, how such contentment should be maintained and the laws concerning animal housing and provision."
D330,Veterinary Public Health,The study of the prevention of the spread of disease from animals to man.
D340,Overseas Veterinary Development,The study of international veterinary practice and its development in specialist areas.
D390,Veterinary Sciences not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Veterinary Sciences categories. To be used sparingly.
D400,Agriculture,"The study of farming and husbandry, conservation, rural business studies and related applied sciences. Includes study and practical experience of cultivating land and rearing crops and livestock. May also include some aspects of rural recreation."
D410,Arable and Fruit Farming,"The study of the most efficient way to grow crops on a large scale, including those borne on trees, for food."
D411,Agricultural Pests and Diseases,"The study of diseases in crops and the animals and insects which attack them, with the object of preventing such disease or attack."
D412,Crop Physiology,The study of crop structure and how it is affected by disease. Studies include dissection and use of microscope slides. Also includes study at cellular level.
D413,Crop Nutrition,The study of the process of assimilating nutrient materials into crop tissue with the aim of understanding and providing the correct nutrient balance.
D414,Crop Protection,"The particular study of the development of immunities in crops. Also includes the study of artificial barriers, preventatives or exterminators for the animals/insects which attack crops."
D415,Crop Production,The study of growing and harvesting crops and the relationship of arable production to its environment and humans.
D416,Glasshouse Culture,The study of plant growth in greenhouse conditions.
D417,Amenity Plant Production,The study of plants grown for their appearance.
D418,Exotic Plants and Crops,"The study of the most efficient way to plant, sow and harvest non-native crops."
D420,Livestock,The study of the most efficient way to keep animals for agricultural use rather than as pets.
D421,Livestock Husbandry,The study of animals and their relationship with their environment and people in order to enable successful farming.
D422,Equine studies,"The particular study of horses, their health, livery and use as farm, domestic and recreational animals."
D423,Poultry keeping,The study of egg and fowl production and the relationship of poultry to its environment and people.
D424,Game keeping,"The study of the breeding, maintenance and protection of wild animals preserved specifically for hunting purposes."
D425,Exotic Livestock,"The study of the most efficient way to keep, rear and breed animals not native to Britain."
D430,Fish Farming,The study of the most efficient way to use an area of water to rear fish for commercial sale.
D431,Fish Husbandry,The study of fish in their environment for fishing or fish farming.
D432,Freshwater Fish,"The study of fish generic to unsalted ponds, streams, rivers and lakes, their habits, breeding patterns and the unique effects of their environment."
D433,Saltwater Fish,"The study of fish generic to seas, oceans and salted estuaries, their habits, breeding patterns and the unique effects of their environment."
D434,Ornamental Fish,"The study of fish kept for recreational purposes, their habits and breeding patterns."
D435,Aquaculture,"The study of the cultivation of water resources, both plant and animal, for human consumption or use."
D440,Rural Estate Management,"The study of the administration of large landed properties as or on behalf of their owner. Includes elements of business studies, personnel management, buildings management."
D441,Farm Management,The study of the most efficient way to keep livestock and grow and harvest crops and fruit. Includes home farm management.
D442,Gamekeeping Management,The study of the habitat and management of land set aside for hunting purposes.
D443,Water Resource Management,"The study of fresh and salt water, its use commercially, domestically and recreationally. Includes the conservation of water. Also includes the study of drought, flood and the water cycle."
D444,Land Management for Recreation,"The study of land used for informal recreation. Includes study of erosion and damage to habitat from over or inappropriate use, and the techniques to prevent, cure and minimise such damage."
D445,Heritage Management,"The study of the conservation of land which has or contains something of rarity value. Includes the study of Sites of Special Scientific Interest, sites of historical significance, etc. May include maintenance and visitor management."
D446,Wilderness Management,"The study of the conservation of wild, uninhabited and uncultivated and for aesthetic, recreational or scientific purposes."
D447,Environmental Conservation,The study of the protection and careful management of natural resources and the environment.
D450,International Agriculture,The study of the science or occupation of cultivating land and rearing crops in various parts of the world.
D460,Organic Farming,The study of agricultural processes conducted without the use of artificial chemicals in the form of fertilisers or pesticides.
D461,Organic Arable and Fruit Farming,"The study of the most efficient way to grow crops on a large scale, including those borne on trees, for food, without the use of artificial chemicals or fertilisers."
D462,Organic Livestock,The study of the most efficient way to keep animals for agricultural use rather than as pets without the use of artificial chemicals or feed.
D463,Organic Fish Farming,"The study of the most efficient way to use of an area of water to rear fish for commercial sale, without the use of artificial chemicals."
D470,Agricultural Technology,"The study of practical or mechanical sciences connected with agriculture as they apply to increased efficiency, economy and crop production."
D471,Agricultural Machinery,"The study of the use and maintenance of agricultural machinery. Includes the study of tractors, hedge clippers, milking machines, etc."
D472,Agricultural Irrigation and Drainage,"The study of the control of water by means of artificial canals and ditches, mechanical pumps, weather stations, etc."
D490,Agriculture not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Agriculture categories. To be used sparingly.
D500,Forestry,"The study of the planting and caring for trees and the management of woods and forests for conservation purposes, commercial exploitation and recreational use."
D510,Trees and Shrubs,The study of the most efficient way to grow hardwood and softwood trees for harvesting.
D511,Forestry Pests and Diseases,"The study of diseases in commercially-grown hardwood and softwood trees and the animals and insects which attack them, with the object of preventing such disease or attack."
D512,Tree Physiology,The study of hardwood and softwood tree structure and how it is affected by disease. Studies include dissection and use of microscope slides. Also includes study at cellular level.
D513,Tree Nutrition,The study of the process of assimilating nutrient materials into tree tissue with the aim of understanding and providing the correct balance.
D514,Tree Protection,"The particular study of the development of immunities in trees. Also includes the study of artificial barriers, preventative measures or exterminators for the animals/insects which attack them."
D515,Tree Production,The study of growing and harvesting trees and the relationship of such tree production to its environment.
D516,Timber Production,The study of hardwood and softwood timber products. May include the different uses of wood products. May also include the suitability of certain trees for certain uses.
D517,Community Forestry,"The study of forestry used for recreation. Includes study of formal and informal recreational uses, erosion and damage to habitat from over or inappropriate use, and the techniques to prevent, cure and minimise such damage."
D520,International Forestry,The study of the science or occupation of cultivating trees as a crop in various parts of the world.
D530,Organic Forestry,The study of forestry processes conducted without the use of artificial chemicals in the form of fertilisers or pesticides.
D540,Forestry Technology,"The study of practical or mechanical sciences connected with forestry as they apply to increased efficiency, economy and crop production."
D541,Forestry Irrigation and Drainage,"The study of the control of water and prevention of erosion by means of good planting, mechanical pumps, etc."
D590,Forestry not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Forestry categories. To be used sparingly.
D600,Food and Beverage studies,"The study of the properties and behaviour of food from the point of origin on the farm (or elsewhere), through different stages of storage, transportation, preservation or other transformations, including domestic or restaurant food preparation procedures, to its use by the consumer."
D610,Food Science,"The study of the properties and behaviour of food. Includes the application of physical, chemical and biological sciences to food systems."
D611,Meat Science,The study of the properties of meat. Includes the application of food sciences to meat-inclusive food systems.
D612,Cereal Science,The study of the properties of cereal and grains. Includes the application of food sciences to cereal-inclusive food systems.
D613,Vegetable Science,The study of the properties of vegetables. Includes the application of food sciences to vegetable-inclusive food systems.
D614,Fruit Science,"The study of the properties of fruit. Includes the application of physical, chemical and biological sciences to fruit-inclusive food systems."
D620,Food Hygiene,The study of the maintenance and promotion of health through the clean and sanitary handling of food.
D630,Food and Beverage Production,The study of the process of supplying food and drink. Includes study of production techniques and the amount and rate at which foodstuffs are produced.
D631,Food and Beverage Manufacture,The study of the development of artificial foodstuffs. Includes the substitution of one type of food for another.
D632,Food and Beverage Processing,The study of the preservation and processing of foodstuffs.
D633,Food and Beverage Technology,The study of the production techniques for food and drink. Includes study of resources and environmental concerns.
D634,Industrial Baking,"The study of the production of cooked foodstuffs. Includes the application of physical, chemical and biological sciences to food preparation."
D635,Industrial Brewing,"The study of the production of liquid beverages. Includes the application of physical, chemical and biological sciences to drink preparation."
D640,Food and Beverages for the Consumer,The study of food products and their preparation to attract consumers.
D641,Food and Beverages Packaging,The study of packaging and packaging systems to ensure economic and hygienic handling and customer satisfaction.
D642,Food and Beverage Delivery,The study of transportation of food and drink to ensure economic and hygienic handling and customer satisfaction.
D690,Food studies not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Food studies categories. To be used sparingly.
D700,Agricultural Sciences,"The specifically scientific study of aspects of agriculture, excluding wider non-laboratory based agricultural subjects such as economics, business management and land-use."
D710,Agricultural Biology,"A scientific study of living organisms, both animal and vegetable with particular emphasis on their use in or effect on agricultural processes."
D711,Agricultural Microbiology,"The scientific study of micro-organisms encompassing major components of genetics and molecular biology, with particular emphasis on their use in or effect on agricultural processes. Includes bacteriology, virology, cell structure and function and may include some immunology."
D720,Agricultural Chemistry,The particular study of how individual atoms and molecules react together naturally and/or synthetically to affect agricultural processes.
D721,Agricultural Biochemistry,"The scientific study of the chemical compounds and reactions occurring in the cells and molecules of living organisms with particular emphasis on their use in or effect on agricultural processes. Involves aspects of cellular organisation and specialisation and how the structure and function of DNA, RNA, proteins, enzymes and membranes determine biological processes."
D730,Agricultural Botany,"The particular study of plants cultivated as a crop. Includes their classification, structure, physiology, ecology and economic importance."
D740,Agricultural Zoology,"The scientific study of all agriculture-related aspects of animal biology. Includes their reproduction, development, physiology, behaviour, diseases and interactions with their environment."
D750,Soil as an Agricultural medium,"The study of the physical, chemical and biological processes which explain soil behaviour."
D790,Agricultural Sciences not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Agricultural Sciences categories. To be used sparingly.
D900,"Others in Veterinary Sciences, Agriculture and related subjects","Miscellaneous grouping for related subjects which do not fit into the other Veterinary Sciences, Agriculture and related subjects categories. To be used sparingly."
D990,"Veterinary Sciences, Agriculture and related subjects not elsewhere","Miscellaneous grouping for related subjects which do not fit into the other Others in Veterinary Sciences, Agriculture and related subjects categories. To be used sparingly."
F000,Physical Sciences,
F100,Chemistry,The study of individual atoms and molecules and the way they react together naturally and synthetically.
F110,Applied Chemistry,Topics in chemistry of commercial or social importance.
F111,Industrial Chemistry,The study of chemical processes of industrial significance.
F112,Colour Chemistry,The chemical science of dyes and pigments.
F120,Inorganic Chemistry,"The study of inorganic elements, compounds and reaction mechanisms."
F130,Structural Chemistry,Determination and analysis of chemical structures.
F131,Crystallography,The study and application of techniques for determining crystal structure.
F140,Environmental Chemistry,Concerned with environmental issues related to the chemical sciences.
F141,Marine Chemistry,Topics in the chemical sciences concerned with understanding the marine environment.
F150,Medicinal Chemistry,"Aspects of Chemistry, such as drug design, of importance to medical science."
F151,Pharmaceutical Chemistry,The study of drug function.
F160,Organic Chemistry,The study of organic compounds and their reaction mechanisms
F161,Organometallic Chemistry,The study of reactions between organic compounds and metals.
F162,Polymer Chemistry,The study of the properties of macromolecular compounds and their synthesis.
F163,Bio-organic Chemistry,The study of natural organic compounds.
F164,Petrochemical Chemistry,The chemical science of petroleum and petroleum compounds.
F165,Biomolecular Chemistry,The chemical science of biological materials at the molecular level.
F170,Physical Chemistry,"The study of atomic and molecular structure, chemical bonding, energetics and dynamics."
F180,Analytical Chemistry,The study of chemical and instrumental analysis.
F190,Chemistry not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Chemistry categories. To be used sparingly.
F200,Materials Science,"The study of the crystalline and granular structure of materials, including electronic atomic and molecular configurations. May include the study of mining and mining techniques."
F290,Materials Science not elsewhere classified,Miscellaneous grouping for related subjects which do not fit into the other Materials Science categories. To be used sparingly.
F300,Physics,"The study of the properties of matter and energy and the relationships between them, making extensive use of mathematical techniques and models. May include mechanics, optics, electricity, magnetism and acoustics. May also include atomic, nuclear, particle and solid state studies."
F310,Applied Physics,Topics in physics of commercial or social importance.
F311,Engineering Physics,Physical principles and techniques applied to engineering and technology.
F320,Chemical Physics,"Concerned with central area of physical science, integrating chemistry and physics."
F321,Solid state Physics,Study of the structure of solids and the explanation of their properties.
F330,Environmental Physics,Aspects of physics concerned with environmental issues.
F331,Atmospheric Physics,The study of the Earth's upper atmosphere.
F332,Marine Physics,The study of the physical properties of the marine environment.
F340,Mathematical & Theoretical Physics,The mathematical principles and techniques of physics theory and explanation of physical phenomena.
F341,Electromagnetism,The study of the interaction of charges in electromagnetic fields.
F342,Quantum Mechanics,Description and analysis of sub-atomic behaviour.
F343,Computational Physics,Numerical and quantitative methods in physics.
F350,Medical Physics,The application of Physics to the medical sciences.
F351,Radiation Physics,Monitoring and evaluation of emissions from sources of radiation.
F360,Optical Physics,The study of optics as a natural phenomenon and optical instrumentation.
