"B920","Occupational health","The monitoring and evaluation of health standards related to industrial and commercial workplaces and locations.",""
"B930","Occupational therapy","The study of therapeutic regimes to assist recovery from mental or physical ailments/injury.",""
"B940","Counselling","The study of the provision of support services aimed at helping people to maintain a healthy and positive mental disposition in addressing problems.",""
"B950","Paramedical science","The study of the principles and techniques to allow provision of on-site care for persons with acute illnesses or injuries.","B780"
"B960","Physician assistant studies","The study of the principles and techniques required to take medical histories, perform examinations, diagnose illnesses, and analyse test results under direct supervision of a doctor.",""
"B990","Subjects allied to medicine not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the Others in Subjects Allied to Medicine categories. To be used sparingly.",""
"C000","Biological Sciences","",""
"C100","Biology","A broadly based scientific study of living organisms, both animal and vegetable. Includes their structure, functions, evolution, distribution and interrelationships.",""
"C110","Applied biology","Topics in Biology of commercial or social importance.",""
"C111","Parasitology","The study of the transmission and control of parasitic diseases and their vectors.",""
"C120","Behavioural biology","The study of the behavioural strategies used by organisms in their natural environment to maximise fitness. Includes foraging, social and reproductive (including parental care, sexual selection and mate choice) behaviour, behavioural responses to predators, communication, migration and homing.",""
"C130","Cell biology","Concerned with the organisation of the cell, cell membrane and cell communication.",""
"C131","Applied cell biology","Topics in Cell Biology of commercial or social importance.",""
"C140","Developmental/Reproductive biology","The study of the development and reproduction of multi-cellular organisms and the differentiation of cells, tissues and organs.",""
"C141","Developmental biology","The study of the development of multi-cellular organisms.",""
"C142","Reproductive biology","The study of the reproduction of multi-cellular organisms.",""
"C150","Environmental biology","Relates animals and plants to their terrestrial and marine habitats.",""
"C160","Marine/Freshwater biology","The study of aquatic biology.",""
"C161","Marine biology","The study of saltwater and oceanic biology.",""
"C162","Freshwater biology","The study of freshwater and estuarine biology.",""
"C170","Population biology","The study of organism numbers and population dynamics.",""
"C180","Ecology","The study of organisms in their environment, their interactions and history.",""
"C181","Biodiversity","Concentrates on the design and development of different species and their interrelationships.",""
"C182","Evolution","The study of organisms' adaptation to their environment and the mechanisms of heredity and change.",""
"C183","Community ecology","The study of the structure, composition and dynamics of ecological assemblages. Includes the relationship between species assemblages and their environments, trophic structure, succession, stability, biodiversity, coexistence and competitive exclusion, spatial structure and relative abundance of component species.",""
"C184","Conservation ecology","The study of the science underpinning the restoration and conservation of species and communities and their natural habitat.",""
"C185","Ecosystem ecology & land use","The study of large-scale ecology including catchment and regional studies, landscape ecology and interactions between ecology and land use patterns.",""
"C186","Population ecology","The study of the understanding of population dynamics, including trophic interactions, demography of populations, extinction processes, spatial processes and metapopulation dynamics.",""
"C187","Ecotoxicology","The study of the branch of toxicology concerned with toxic effects caused by natural or synthetic pollutants, to the constituents of ecosystems, (animal (including human), vegetable and microbial) in an integral context. Includes diagnostics, tolerance and adaptation in relation to natural and anthropogenic toxic substances.",""
"C190","Biology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the other Biology categories. To be used sparingly.",""
"C191","Biometry","Concerned with the quantitative techniques and measurement in the biological Sciences.",""
"C200","Botany","The study of plants including their classification, structure, physiology, ecology and economic importance. Includes the importance of plants for a balanced ecosystem including the process of energy fixation and conversion in to the biosphere (and thus with food and fuel). May also be called Plant Science.",""
"C210","Applied botany","Topics in Botany of commercial or social importance.",""
"C220","Mycology","The study of fungi, symbiotic relationships and their role in decay.",""
"C230","Plant biotechnology","Involves the molecular and microbial manipulation of plants.",""
"C240","Plant cell science","Concerned with the cellular organisation and function in plants.",""
"C250","Plant pathology","Concerned with the diseases of plants and their treatments.",""
"C260","Plant physiology","The study of the area of botany concerned with the function or physiology of plants. This includes processes such as photosynthesis, respiration, plant nutrition, plant hormone functions, tropisms, nastic movements, photoperiodism, photomorphogenesis, circadian rhythms, environmental stress physiology, seed germination, dormancy and stomata function and transpiration.",""
"C270","Developmental & reproductive plant biology","The study of plant growth related to reproduction and development.",""
"C280","Systematic botany","The study of morphological, numerical and molecular methods of identifying and classifying living and fossil plants. Includes the reconstruction of phylogenies.",""
"C290","Botany not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Botany categories. To be used sparingly.",""
"C300","Zoology","The scientific study of all aspects of animal biology: their reproduction, development, physiology, behaviour, mechanics of locomotion, diseases and interactions with the environment.",""
"C310","Applied zoology","Zoological topics of commercial or social importance, e.g. animal disease and eradication.",""
"C320","Cell zoology","Concerned with the cellular organisation and function in animals.",""
"C330","Developmental & reproductive zoology","The study of the reproduction and development of animals, including embryos, fertilisation, foetal growth and maturation, ovarian function, fertility and the differentiation of cells, tissues and organs.",""
"C340","Entomology","The study of insects, including their role as pests.",""
"C350","Marine zoology","The biological study of animals in seawater environments.",""
"C360","Pest science","Concerned with vertebrate and invertebrate pests, their roles as disease vectors and agents of damage, and their control.",""
"C380","Systematic zoology","The study of morphological, numerical and molecular methods of identifying and classifying living and fossil animals, including reconstruction of phylogenies.",""
"C390","Zoology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Zoology categories. To be used sparingly.",""
"C400","Genetics","The scientific study of origin, heredity and variation in organisms; includes the inheritance of biological information.",""
"C410","Applied genetics","Topics in genetics of commercial or social importance, e.g. in animal and plant breeding, but not exclusively involving Genetic Engineering, which is coded as C460.",""
"C420","Human genetics","The study of the genetics of the human species, including chromosome theory and the mechanism of gene action.",""
"C430","Medical & veterinary genetics","The investigation of genetic anomalies' and their treatment.",""
"C431","Medical genetics","The investigation of genetic abnormalities and their treatment in humans.",""
"C432","Veterinary genetics","The investigation of genetic abnormalities and their treatment in animals.",""
"C440","Molecular genetics","The study of genetic factors and processes at molecular level.",""
"C441","Transcriptomics","The study of transcriptomics; the branch of chemistry which deals with the study of messenger RNA molecules produced in one or a population of cell types.",""
"C450","Genomics","The branch of genetics that studies organisms in terms of their genomes (their full DNA sequences).",""
"C451","Functional genomics","The study of functional genomics; the branch of molecular biology that uses data produced by genomic projects (such as genome sequencing projects) to describe gene (and protein) functions and interactions. Functional genomics focuses on the dynamic aspects such as gene transcription, translation, and protein-protein interactions.",""
"C452","Genome organisation","The study of adult stem cells, chromosome duplication, chromosome structure, comparative mapping, gene mapping, genome rearrangements, ploidy, Single Nucleotide Polymorphism (SNP), genome evolution and telomeres.",""
"C460","Genetic engineering","The use of various methods to manipulate the DNA (genetic material) of cells to change hereditary traits or produce biological products.",""
"C470","Population genetics & evolution","The study of speciation and population genetics, gene flow/population structure, hybrid zones, island populations, genetic drift and conservation genetics. This includes adaptation and the evolution of life histories.",""
"C490","Genetics not elsewhere classified","Miscellaneous grouping for related subjects which do fit into other Genetics categories. To be used sparingly.",""
"C500","Microbiology","The scientific study of micro-organisms encompassing major components of genetics and molecular biology. Includes bacteriology, virology, cell structure and function, and may include some immunology.",""
"C510","Applied microbiology","The study of topics in microbiology of commercial, environmental or social importance. Includes interactions between the environment and microbial systems, bioremediation and microbial diversity.",""
"C520","Medical & veterinary microbiology","The study of the interactions between micro-organisms and their hosts.",""
"C521","Medical microbiology","The study of the interactions between micro-organism and their human hosts.",""
"C522","Veterinary microbiology","The study of the interactions between micro-organisms and their animal hosts.",""
"C530","Bacteriology","The study of bacteria and bacterial diseases.",""
"C540","Virology","The study of viruses and viral diseases.",""
"C550","Immunology","The study of the immune system as a defence mechanism against infection.",""
"C570","Serology","The study of sera and blood-related products.",""
"C590","Microbiology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Microbiology categories. To be used sparingly.",""
"C600","Sport & exercise science","The applied scientific study of the anatomy, physiology, biomechanics and psychology of the human body with a view to optimising performance in sporting and physical activities. Includes non-teacher training physical education.",""
"C610","Sport coaching","The study of the delivery (teaching, instructing and coaching) of enhanced sport performance and the critical analysis of the integration of the variables involved.",""
"C620","Sport development","The monitoring, analysis, diagnosis and prescription of actions to enhance the component elements of sport.",""
"C630","Sport conditioning, rehabilitation & therapy","The applied scientific study of anatomy, biomechanics, physiology and psychology within the context of human body conditioning, sport-related injuries and rehabilitation.",""
"C640","Sport studies","The study of the nature and provision of sport through analysis of its socio-cultural and health impacts.",""
"C650","Sport technology","The study of the impact of technology and ergonomics to advance sport performance through the study of biomechanics, physiology, psychology and materials technology.",""
"C690","Sport & exercise science not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other sport and exercise categories. To be used sparingly.",""
"C700","Molecular biology, biophysics & biochemistry","The scientific study of the chemical compounds and reactions occurring in the cells of living organisms including the molecular and biochemical analysis of life processes. Involves aspects of cellular organisation processes. and specialisation and how the structure and function of DNA, RNA proteins, enzymes and membranes determine biological.",""
"C710","Applied molecular biology, biophysics & biochemistry","Topics in molecular biology, biophysics and biochemistry of commercial or social importance.",""
"C720","Biological chemistry","The study of the molecules and compounds that make up cells and organisms; how they are formed and how they interact. Includes the study of Molecular Biology.",""
"C730","Metabolic biochemistry","Covers the biochemical aspects of metabolic processes.",""
"C740","Medical & veterinary biochemistry","The study of the molecular basis of health and illness.",""
"C741","Medical biochemistry","Covers the biochemical aspects of metabolic processes in humans.",""
"C742","Veterinary biochemistry","Covers the biochemical aspects of metabolic processes in animals.",""
"C750","Plant biochemistry","Concerned with cellular processes in plants including the understanding of the expression of genetic information.",""
"C760","Biomolecular science","The study of the molecular processes in the life sciences.",""
"C770","Biophysical science","The use of the methods of physical science in the biological sciences.",""
"C790","Molecular biology, biophysics & biochemistry not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Molecular Biology, Biophysics and Biochemistry categories. To be used sparingly.",""
"C800","Psychology","The study of behavioural and mental processes. May include study of the brain, the senses, and the biological and physiological bases of behaviour.",""
"C810","Applied psychology","The application of psychological evidence and theories to real world situations.",""
"C811","Occupational psychology","The psychology of selection, motivation and performance in the workplace.",""
"C812","Educational psychology","The psychology of learning and teaching in educational settings.",""
"C813","Sport psychology","The psychology of sport.",""
"C814","Organisational psychology","The psychology of human behaviour in organisational settings.",""
"C815","Business psychology","The applications of psychology to business contexts.",""
"C816","Forensic psychology","The psychological aspects of crime and criminal behaviour.",""
"C820","Developmental psychology","The study of the development of psychological processes across the life cycle.",""
"C821","Child psychology","The study of the development of psychological processes in childhood.",""
"C822","The psychology of ageing","Psychological aspects of the ageing process in adults.",""
"C830","Methodological & conceptual issues in psychology","Investigation into fundamental psychological processes.",""
"C831","Research methods in psychology","The study of the techniques, methodology and statistical procedures used in psychology.",""
"C832","Quantitative psychology","The use of measurement, quantitative and statistical techniques in psychological testing.",""
"C833","Qualitative psychology","The use and analysis of qualitative techniques in psychology.",""
"C834","History of psychology","The historical development of methodology and theory in psychology.",""
"C835","Philosophy of psychology","Philosophical and conceptual issues underlying psychology.",""
"C840","Psychology in health & medicine","The application of psychology to physiological and physical well-being.",""
"C841","Health psychology","The study of the psychological factors in maintaining and recovering physical well-being.",""
"C842","Clinical psychology","The study and treatment of psychological disorder.",""
"C843","Counselling psychology","The study and application of psychological processes of counselling.",""
"C844","Psychotherapy","The study and application of psychological processes of therapy.",""
"C845","Clinical neuropsychology","The study of clinical aspects of the psychological consequences of neurological disorders.",""
"C846","Community psychology","The applications of psychology in community contexts.",""
"C847","Psychoanalytical studies","The application of psychodynamic approaches within psychology.",""
"C848","Psychology of mental health","The study of psychological well-being.",""
"C850","Cognitive & affective psychology","The study of the mechanism and processes associated with perception, learning, language, memory and the emotions.",""
"C851","Psychological modelling","The application of psychology to the development and application of computational models of cognitive processes.",""
"C852","Psychology of communication","The study of psychological processes in verbal and non-verbal communication.",""
"C853","Psychology of memory & learning","The study of psychological processes of memory and learning.",""
"C854","Psychology of perception","The study of psychological processes in perception.",""
"C855","Psychology of higher cognitive processes","The study of thinking, reasoning, decision-making and problem solving.",""
"C856","Experimental psychology","The experimental investigation of behavioural and mental processes.",""
"C857","Affective psychology","Psychology of emotional behaviour.",""
"C858","Transpersonal psychology","The study of psychological aspects of spiritual and mystic experience.",""
"C860","Psychobiology","Biological explanations of psychological processes.",""
"C861","Cognitive neuroscience","The study of neural mechanisms underlying cognitive processes.",""
"C862","Affective neuroscience","The study of neural mechanisms underlying emotional behaviour.",""
"C863","Psychopharmacology","The study of the behavioural and psychological effects of drugs.",""
"C864","Evolutionary psychology","The study of evolutionary explanations of psychology.",""
"C865","Animal psychology","The study of cognitive processes in animals.",""
"C870","Personality & individual differences","The study of psychological factors in individual differences.",""
"C871","Psychometrics","The psychological testing of personality and individual differences.",""
"C872","Psychology of gender","The study of the influence of gender on psychological processes.",""
"C873","Cross-cultural psychology","The study of the influence of culture on psychological processes.",""
"C880","Social psychology","The study of behaviour and mental processes in social contexts.",""
"C881","Social cognition","The study of the cognitive processes involved in social interactions.",""
"C890","Psychology not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the other Psychology categories. To be used sparingly.",""
"C900","Others in Biological Sciences","Miscellaneous grouping for related subjects which do not fit into the other Biological (or Life) Sciences categories. To be used sparingly.",""
"C910","Applied biological sciences","Topics in Other Biological Sciences of commercial or social importance.",""
"C990","Biological sciences not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the Others in Biological (or Life) Sciences categories. To be used sparingly.",""
"D000","Veterinary Sciences, Agriculture and related subjects","",""
"D100","Pre-clinical veterinary medicine","Vocational science concerned with the diagnosis and treatment of disease in animals.",""
"D190","Pre-clinical veterinary medicine not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Pre-clinical Veterinary Medicine categories. To be used sparingly.",""
"D200","Clinical veterinary medicine & dentistry","The observation, diagnosis and treatment of illness, disease or damage through direct interaction with non-human patients.",""
"D210","Clinical veterinary medicine","The observation, diagnosis and treatment of illness, disease or damage through direct interaction with non-human patients.",""
"D220","Clinical veterinary dentistry","The observation, diagnosis and treatment of illness, disease or damage to the teeth and gums through direct interaction with non-human patients.",""
"D290","Clinical veterinary medicine & dentistry not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into other Clinical Veterinary Medicine and Dentistry categories. To be used sparingly.",""
"D300","Animal science","The scientific study of animals, their nutrition, treatment and care. Includes the study of animals' diseases and their cure. May include veterinary nursing. Also may include the study of drugs, their characteristics, actions and uses.",""
"D310","Veterinary nursing","Vocational science concerning the practical care of sick, injured and/or infirm animals.",""
"D320","Animal health","The study of animal diseases with the object of prevention or diagnosis and cure.",""
"D321","Animal anatomy","The study of the physical structure of an animal, how each part works and is related. Studies include dissection and use of microscope slides.",""
"D322","Animal physiology","The study of systemic function and behaviour of the animal frame, including processes such as respiration, circulation, digestion, excretion, and reproduction.",""
"D323","Animal pathology","The study of the effect of disease and/or damage to the animal frame. Studies include dissection and use of microscope slides.",""
"D324","Animal pharmacology","The study of drugs, their characteristics, actions, uses and effects on different animals.",""
"D325","Animal toxicology","The study of poisons, their nature, effect on different animals and possible antidotes.",""
"D326","Animal pharmacy","The study of the preparation and dispensing of animal-related drugs. Involves an understanding of the food-chain and its interaction with human beings.",""
"D327","Animal nutrition","The study of the process of assimilating nutrient materials into animal tissue.",""
"D328","Animal welfare","The study of the health, contentment and well being of animals, how such contentment should be maintained and the laws concerning animal housing and provision.",""
"D330","Veterinary public health","The study of the prevention of the spread of disease from animals to man.",""
"D340","Overseas veterinary development","The study of international veterinary practice and its development in specialist areas.",""
"D390","Animal sciences not elsewhere classified","Miscellaneous grouping for related subjects which do not fit into the other Animal Sciences categories. To be used sparingly.",""
"D400","Agriculture","The study of farming and husbandry, conservation, rural business studies and related applied sciences. Includes study and practical experience of cultivating land and rearing crops and livestock. May also include some aspects of rural recreation.",""
"D410","Arable & fruit farming","The study of the most efficient way to grow crops on a large scale, including those borne on trees, for food.",""
"D411","Agricultural pests & diseases","The study of diseases in crops and the animals and insects which attack them, with the object of preventing such disease or attack.",""
"D412","Crop physiology","The study of crop structure and how it is affected by disease. Studies include dissection and use of microscope slides. Also includes study at cellular level.",""
"D413","Crop nutrition","The study of the process of assimilating nutrient materials into crop tissue with the aim of understanding and providing the correct nutrient balance.",""
"D414","Crop protection","The particular study of the development of immunities in crops. Also includes the study of artificial barriers, preventatives or exterminators for the animals/insects which attack crops.",""
"D415","Crop production","The study of growing and harvesting crops and the relationship of arable production to its environment and humans.",""
"D416","Glasshouse culture","The study of native and non-native plant propagation and growth in greenhouse conditions, including crops and plants grown for their appearance or other properties.",""
"D417","Amenity horticulture","The study of plants grown for their appearance for use in municipal and other large area planting schemes, gardens, parks and landscapes.",""
"D418","Exotic plants & crops","The study of the most efficient way to plant, sow and harvest non-native crops.",""
"D420","Livestock","The study of the most efficient way to keep animals for agricultural use rather than as pets.",""
"D421","Livestock husbandry","The study of animals and their relationship with their environment and people in order to enable successful farming.",""
"D422","Equine studies","The particular study of horses, their health, livery and use as farm, domestic and recreational animals.",""
"D423","Poultry keeping","The study of egg and fowl production and the relationship of poultry to its environment and people.",""
"D424","Game keeping","The study of the breeding, maintenance and protection of wild animals preserved specifically for hunting purposes.",""
"D425","Exotic livestock","The study of the most efficient way to keep, rear and breed animals not native to Britain.",""
"D430","Fish farming","The study of the most efficient way to use an area of water to rear fish for commercial sale.",""
"D431","Fish husbandry","The study of fish in their environment for fishing or fish farming.",""
"D432","Freshwater fish","The study of fish generic to unsalted ponds, streams, rivers and lakes, their habits, breeding patterns and the unique effects of their environment.",""
"D433","Saltwater fish","The study of fish generic to seas, oceans and salted estuaries, their habits, breeding patterns and the unique effects of their environment.",""
"D434","Ornamental fish","The study of fish kept for recreational purposes, their habits and breeding patterns.",""
"D435","Aquaculture","The study of the cultivation of water resources, both plant and animal, for human consumption or use.",""
"D440","Rural estate management","The study of the administration of large landed properties as or on behalf of their owner. Includes elements of business studies, personnel management, buildings management.",""
"D441","Farm management","The study of the most efficient way to keep livestock and grow and harvest crops and fruit. Includes home farm management.",""
"D442","Game keeping management","The study of the habitat and management of land set aside for hunting purposes.",""
"D443","Water resource management","The study of fresh and salt water, its use commercially, domestically and recreationally. Includes the conservation of water. Also includes the study of drought, flood and the water cycle.",""
"D444","Land management for recreation","The study of land used for informal recreation. Includes study of erosion and damage to habitat from over or inappropriate use, and the techniques to prevent, cure and minimise such damage.",""
"D445","Biological heritage site management","The scientific study of the conservation of land which has or contains something of rarity value; Sites of Special Scientific Interest (SSSI) and the species found there.",""
"D446","Wilderness management","The study of the conservation of wild, uninhabited and uncultivated land for aesthetic, recreational or scientific purposes.",""
"D447","Environmental conservation","The study of the protection and careful management of natural resources and the environment.",""
"D448","Sustainable agricultural & landscape development","The study of agricultural and other related landscape uses with particular emphasis on sustainable and environmentally sensitive practices.",""
"D450","International agriculture","The study of the science or occupation of cultivating land and rearing crops in various parts of the world.",""
"D460","Organic farming","The study of agricultural processes conducted without the use of artificial chemicals in the form of fertilisers or pesticides.",""
"D461","Organic arable & fruit farming","The study of the most efficient way to grow crops on a large scale, including those borne on trees, for food, without the use of artificial chemicals or fertilisers.",""
"D462","Organic livestock","The study of the most efficient way to keep animals for agricultural use rather than as pets without the use of artificial chemicals or feed.",""
"D463","Organic fish farming","The study of the most efficient way to use an area of water to rear fish for commercial sale, without the use of artificial chemicals.",""
"D470","Agricultural technology","The study of practical or mechanical sciences connected with agriculture as they apply to increased efficiency, economy and crop production.",""
