IPP_CODE,IPO_SEQN,IPP_TITL,FAC_CODE,FAC_NAME,IPP_DPTC,DPT_NAME,IPO_AYRC,AYR_SNAM,IPO_BEGD,MOA_NAME,,
RRDPLSSDSC01,9,Research Degree: Developmental Science,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSICN01,8,Research Degree: Institute of Cognitive Neuroscience,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSICN01,9,Research Degree: Institute of Cognitive Neuroscience,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSLAN01,8,Research Degree: Language and Communication,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSLAN01,9,Research Degree: Language and Communication,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSLIN01,9,Research Degree: Linguistics,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSSHP01,8,"Research Degree: Speech, Hearing and Phonetic Sciences",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSSHP01,9,"Research Degree: Speech, Hearing and Phonetic Sciences",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSUIC01,8,Research Degree: UCL Interaction Centre,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSUIC01,9,Research Degree: UCL Interaction Centre,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPOPSEPI01,8,Research Degree: Epidemiology and Public Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Full-time,,
DDNCHESMMS09,7,EngD Molecular Modelling and Materials Science,MAP,Faculty of Mathematical and Physical Sciences,CHEMS_MAP,Chemistry,2012,2012/13,24-Sep-12,Full-time,,
RRDEENSPHT01,7,Research Degree: Photonics Systems Development,ENG,Faculty of Engineering Sciences,ELECN_ENG,Electronic and Electrical Engineering,2011,2011/12,26-Sep-11,Full-time,,
DDNCOMSVEI09,5,"EngD Virtual Environments, Imaging and Visualisation",ENG,Faculty of Engineering Sciences,COMPS_ENG,Computer Science,2011,2011/12,26-Sep-11,Full-time,,
RRDARLSING01,10,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2011,2011/12,26-Sep-11,Full-time,,
RRDARLSING01,11,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2011,2011/12,26-Sep-11,Part-time,,
RRDARLSING01,12,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2012,2012/13,24-Sep-12,Full-time,,
RRDARLSING01,13,Research Degree:  Institute of Archaeology,SHS,Faculty of Social and Historical Sciences,ARCLG_SHS,Institute of Archaeology,2012,2012/13,24-Sep-12,Part-time,,
RRDBARSGST01,10,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2011,2011/12,26-Sep-11,Full-time,,
RRDBARSGST01,11,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2011,2011/12,26-Sep-11,Part-time,,
RRDBARSGST01,12,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2012,2012/13,24-Sep-12,Full-time,,
RRDBARSGST01,13,Research Degree:  Bartlett School of Graduate Studies,BEN,Faculty of the Built Environment,BSGST_BEN,Bartlett School of Graduate Studies,2012,2012/13,24-Sep-12,Part-time,,
DDNENVSENG01,14,EngD Environmental Engineering Science,ENG,Faculty of Engineering Sciences,CIVLG_ENG,"Civil, Environmental and Geomatic Engineering",2012,2012/13,24-Sep-12,Full-time,"insert into program(code, title, description) values ('DDNENVSENG01','EngD Environmental Engineering Science','EngD Environmental Engineering Science');","insert into project(code, title, description, program_id) values ('CIVLG_ENG','Civil, Environmental and Geomatic Engineering','Civil, Environmental and Geomatic Engineering',(select id from program where code='DDNENVSENG01'));"
DDNCIVSUSR09,5,EngD Urban Sustainability and Resilience,ENG,Faculty of Engineering Sciences,CIVLG_ENG,"Civil, Environmental and Geomatic Engineering",2011,2011/12,26-Sep-11,Full-time,,
RRDPHISING01,11,Research Degree:  Philosophy,ART,Faculty of Arts and Humanities,PHILO_ART,Philosophy,2011,2011/12,26-Sep-11,Part-time,,
RRDPHYSING01,10,Research Degree:  Physics and Astronomy,MAP,Faculty of Mathematical and Physical Sciences,PHYSA_MAP,Physics and Astronomy,2011,2011/12,26-Sep-11,Full-time,,
RRDPHYSING01,11,Research Degree:  Physics and Astronomy,MAP,Faculty of Mathematical and Physical Sciences,PHYSA_MAP,Physics and Astronomy,2011,2011/12,26-Sep-11,Part-time,,
RRDPHYSING01,12,Research Degree:  Physics and Astronomy,MAP,Faculty of Mathematical and Physical Sciences,PHYSA_MAP,Physics and Astronomy,2012,2012/13,24-Sep-12,Full-time,,
RRDPHYSING01,13,Research Degree:  Physics and Astronomy,MAP,Faculty of Mathematical and Physical Sciences,PHYSA_MAP,Physics and Astronomy,2012,2012/13,24-Sep-12,Part-time,,
RRDBARSING01,10,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2011,2011/12,26-Sep-11,Full-time,,
RRDBARSING01,11,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2011,2011/12,26-Sep-11,Part-time,,
RRDBARSING01,13,Research Degree:  Bartlett School of Architecture,BEN,Faculty of the Built Environment,BSARC_BEN,Bartlett School of Architecture,2012,2012/13,24-Sep-12,Part-time,,
RRDWOLSING01,10,Research Degree:  Wolfson Institute of Biomedical Research,MDS,Faculty of Medical Sciences,WOLFS_MDS,Wolfson Institute for Biomedical Research,2011,2011/12,26-Sep-11,Full-time,,
RRDWOLSING01,11,Research Degree:  Wolfson Institute of Biomedical Research,MDS,Faculty of Medical Sciences,WOLFS_MDS,Wolfson Institute for Biomedical Research,2011,2011/12,26-Sep-11,Part-time,,
RRDWOLSING01,12,Research Degree:  Wolfson Institute of Biomedical Research,MDS,Faculty of Medical Sciences,WOLFS_MDS,Wolfson Institute for Biomedical Research,2012,2012/13,24-Sep-12,Full-time,,
RRDWOLSING01,13,Research Degree:  Wolfson Institute of Biomedical Research,MDS,Faculty of Medical Sciences,WOLFS_MDS,Wolfson Institute for Biomedical Research,2012,2012/13,24-Sep-12,Part-time,,
DDDEDISPAE01,9,DDent Paediatric Dentistry,MDS,Faculty of Medical Sciences,EASTD_MDS,Eastman Dental Institute,2011,2011/12,26-Sep-11,Full-time,,
RRDPOPSIPH01,8,Research Degree: Infection and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Full-time,,
RRDPOPSIPH01,9,Research Degree: Infection and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Part-time,,
RRDPOPSMHS01,9,Research Degree: Mental Health Sciences,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Part-time,,
DDNPRFSING01,11,EngD Professional Services,ENG,Faculty of Engineering Sciences,ENGSC_ENG,Faculty of Engineering Sciences,2012,2012/13,24-Sep-12,Full-time,"insert into program(code, title, description) values ('DDNPRFSING01','EngD Professional Services','EngD Professional Services');","insert into project(code, title, description, program_id) values ('ENGSC_ENG','Faculty of Engineering Sciences','Faculty of Engineering Sciences',(select id from program where code='DDNPRFSING01'));"
RRDPLSSCEH01,10,"Research Degree:  Clinical, Educational and Health Psychology",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Full-time,,
RRDPLSSCEH01,11,"Research Degree:  Clinical, Educational and Health Psychology",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSCEH01,12,"Research Degree:  Clinical, Educational and Health Psychology",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSCEH01,13,"Research Degree:  Clinical, Educational and Health Psychology",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPOLSING01,10,Research Degree:  Political Science,SHS,Faculty of Social and Historical Sciences,POLSC_SHS,Political Science,2011,2011/12,26-Sep-11,Full-time,,
RRDPOLSING01,11,Research Degree:  Political Science,SHS,Faculty of Social and Historical Sciences,POLSC_SHS,Political Science,2011,2011/12,26-Sep-11,Part-time,,
RRDPOLSING01,12,Research Degree:  Political Science,SHS,Faculty of Social and Historical Sciences,POLSC_SHS,Political Science,2012,2012/13,24-Sep-12,Full-time,,
RRDPOPSCHI01,10,Research Degree: Health Informatics and Multiprofessional Education,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Full-time,,
RRDPOPSCHI01,11,Research Degree: Health Informatics and Multiprofessional Education,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Part-time,,
RRDPOPSCHI01,12,Research Degree: Health Informatics and Multiprofessional Education,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Full-time,,
DDNCHESMMS01,10,EngD Molecular Modelling and Materials Simulation,MAP,Faculty of Mathematical and Physical Sciences,CHEMS_MAP,Chemistry,2011,2011/12,26-Sep-11,Full-time,,
DDNCHESMMS01,12,EngD Molecular Modelling and Materials Simulation,MAP,Faculty of Mathematical and Physical Sciences,CHEMS_MAP,Chemistry,2012,2012/13,24-Sep-12,Full-time,,
RRDCANSING01,11,Research Degree: Cancer Institute,MDS,Faculty of Medical Sciences,CANCR_MDS,Cancer Institute,2011,2011/12,26-Sep-11,Part-time,,
RRDPLSSDSC01,11,Research Degree: Developmental Science,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPOPSPRI01,8,Research Degree: Primary Care and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Full-time,,
RRDPOPSPRI01,9,Research Degree: Primary Care and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2011,2011/12,26-Sep-11,Part-time,,
RRDSRGSORT01,10,Research Degree: Division of Orthopaedics and Musculoskeletal Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSRGSORT01,11,Research Degree: Division of Orthopaedics and Musculoskeletal Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Part-time,,
RRDSRGSURL01,10,Research Degree: Urology,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Full-time,,
RRDSRGSURL01,11,Research Degree: Urology,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2011,2011/12,26-Sep-11,Part-time,,
DDNBENSING09,5,EngD Biochemical Engineering,ENG,Faculty of Engineering Sciences,BENGN_ENG,Biochemical Engineering,2011,2011/12,26-Sep-11,Full-time,,
DDNPRFSING01,14,EngD Professional Services,ENG,Faculty of Engineering Sciences,ENGSC_ENG,Faculty of Engineering Sciences,2013,2013/14,23-Sep-13,Full-time,,
RRDPLSSICN01,10,Research Degree: Institute of Cognitive Neuroscience,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSICN01,11,Research Degree: Institute of Cognitive Neuroscience,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPLSSLAN01,10,Research Degree: Language and Communication,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSLAN01,11,Research Degree: Language and Communication,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPLSSLIN01,10,Research Degree: Linguistics,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSLIN01,11,Research Degree: Linguistics,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPLSSSHP01,10,"Research Degree: Speech, Hearing and Phonetic Sciences",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSSHP01,11,"Research Degree: Speech, Hearing and Phonetic Sciences",BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPLSSUIC01,10,Research Degree: UCL Interaction Centre,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Full-time,,
RRDPLSSUIC01,11,Research Degree: UCL Interaction Centre,BRN,Faculty of Brain Sciences,PSYLA_BRN,Division of Psychology and Language Sciences,2012,2012/13,24-Sep-12,Part-time,,
RRDPOPSEPI01,10,Research Degree: Epidemiology and Public Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Full-time,,
RRDPOPSEPI01,11,Research Degree: Epidemiology and Public Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Part-time,,
RRDPOPSIPH01,10,Research Degree: Infection and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Full-time,,
RRDPOPSIPH01,11,Research Degree: Infection and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Part-time,,
RRDPOPSMHS01,10,Research Degree: Mental Health Sciences,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Full-time,,
RRDPOPSMHS01,11,Research Degree: Mental Health Sciences,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Part-time,,
RRDPOPSPRI01,10,Research Degree: Primary Care and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Full-time,,
RRDPOPSPRI01,11,Research Degree: Primary Care and Population Health,PHS,Faculty of Population Health Sciences,POPUL_PHS,Division of Population Health,2012,2012/13,24-Sep-12,Part-time,,
RRDSRGSORT01,12,Research Degree: Division of Orthopaedics and Musculoskeletal Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Full-time,,
RRDSRGSORT01,13,Research Degree: Division of Orthopaedics and Musculoskeletal Science,MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Part-time,,
RRDSRGSSPO01,5,"Research Degree: Institute of Sport, Exercise and Health",MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Full-time,,
RRDSRGSSPO01,6,"Research Degree: Institute of Sport, Exercise and Health",MDS,Faculty of Medical Sciences,SURGS_MDS,Division of Surgery and Interventional Science,2012,2012/13,24-Sep-12,Part-time,,
